class,title,description,source
Technology,General election 2017: Labour rules out tax rises for 95% of earners,"VAT and employee national insurance rises are ruled out but those on over £80,000 would have to pay more.",bbc-news
Politics & Government,General election 2017: Lib Dems pledge winter fuel cuts to protect pensions,The party's manifesto pledge would see wealthier pensioners lose the winter fuel allowance.,bbc-news
Politics & Government,General election 2017: Conservatives pledge to end mental health 'injustice',"Party wants to tackle discrimination and put 10,000 more staff into mental health services by 2020.",bbc-news
Politics & Government,Rich List 2017: No Brexit 'chilling effect' on wealth of super-rich,"The Hinduja brothers top the Sunday Times Rich List, with a £3.2bn boost to their fortunes.",bbc-news
Technology,Nigeria Chibok girls: At least 80 freed by Boko Haram,The abduction of 276 girls in 2014 sparked a global outcry and the #BringBackOurGirls campaign.,bbc-news
Politics & Government,Pope Francis angered by America's 'mother of all bombs' name,"The pontiff says it does not make sense to call the US military's massive bomb ""mother"".",bbc-news
Politics & Government,French election: Hollande vows 'response' to Macron hack attack,Fallout from an online data leak continues as France gears up for Sunday's presidential election.,bbc-news
Politics & Government,Lily Allen in push to get more women into music industry,The pop star has teamed up with a songwriter for Beyonce to help women get into the music business.,bbc-news
Politics & Government,Prince Edward says 'the show goes on' as the Duke of Edinburgh retires,The Earl of Wessex becomes first royal to speak about Prince Philip's decision to end public duties.,bbc-news
Politics & Government,Seamus Ruddy's family have 'mixed emotions' after human remains find,Family of Disappeared victim Seamus Ruddy welcome bittersweet news that remains have been found.,bbc-news
Technology,"Arsene Wenger: Managers must 'control' criticism of players, says Arsenal boss","Arsenal boss Arsene Wenger says managers must be ""careful"" when criticising their own players and ""control what you say"".",bbc-sport
Sports,Swansea City 1-0 Everton,Swansea City climb out of the relegation zone with two games remaining after Fernando Llorente heads the winner against Everton.,bbc-sport
Technology,British and Irish Lions 2017: Ben Youngs withdraws from squad for family reasons,England and Leicester scrum-half Ben Youngs withdraws from the Lions tour to New Zealand as his sister-in-law has terminal cancer.,bbc-sport
Politics & Government,Premiership: Wasps 35-15 Saracens,Thomas Young's hat-trick helps Wasps beat Saracens to seal Premiership top spot - and a home semi-final with Leicester.,bbc-sport
Technology,Hartlepool United 2-1 Doncaster Rovers,Hartlepool United are relegated out of the English Football League despite coming from behind to beat Doncaster Rovers.,bbc-sport
Politics & Government,Steven Holcomb: Olympic gold medallist bobsledder found dead at 37,"Olympic gold medallist bobsledder Steven Holcomb is found dead at the US Olympic Training Centre in Lake Placid, aged 37.",bbc-sport
Politics & Government,Badminton Horse Trials: Ingrid Klimke leads with GB's Rosalind Canter in sixth,"Germany's Ingrid Klimke leads the Badminton ‎Horse Trials after the cross country phase, as she bids to become the first female winner in a decade.",bbc-sport
Sports,England v Ireland: John Bracewell says Test issue is putting Irish 'under huge pressure',"Ireland coach John Bracewell says the looming decision over possible Test status is putting his team ""under huge pressure"".",bbc-sport
Politics & Government,Pro12: Scarlets 40-17 Ospreys,"Scarlets claim a record win over Ospreys to finish third in the Pro12 table, one above the visitors.",bbc-sport
